,Month,# of Sales,Monthly Change ($),Monthly Change (%),Days on Market,Above/Below Asking (%),Avg List Price ($),Avg Sold Price ($),Year
118,January 2012,796,314000.0,0.0,25.0,-1.56,319000.0,314000.0,2012
117,February 2012,"1,261",14000.0,4.45,18.0,-1.79,334000.0,328000.0,2012
116,March 2012,"1,586",1000.0,0.3,20.0,-0.27,329900.0,329000.0,2012
115,April 2012,"1,509",4000.0,1.21,21.0,-0.59,335000.0,333000.0,2012
114,May 2012,"1,562",2759.0,0.82,19.0,-1.21,339900.0,335759.0,2012
113,June 2012,"1,363",-2959.0,-0.88,22.0,-1.82,339000.0,332800.0,2012
112,July 2012,"1,185",-10300.0,-3.09,26.0,-1.97,329000.0,322500.0,2012
111,August 2012,"1,013",-1500.0,-0.46,29.0,-2.43,329000.0,321000.0,2012
110,September 2012,970,7000.0,2.18,28.0,-2.87,337700.0,328000.0,2012
109,October 2012,"1,114",-2500.0,-0.76,27.0,-2.83,335000.0,325500.0,2012
108,November 2012,964,-9375.0,-2.88,29.0,-2.7,324900.0,316125.0,2012
107,December 2012,631,-1125.0,-0.35,37.0,-3.07,324990.0,315000.0,2012
106,January 2013,796,8250.0,2.61,32.0,-1.97,329748.0,323250.0,2013
105,February 2013,972,-3000.0,-0.92,23.0,-2.65,329000.0,320250.0,2013
104,March 2013,"1,322",10250.0,3.2,22.0,-2.76,339890.0,330500.0,2013
103,April 2013,"1,514",4500.0,1.36,22.0,-1.44,339900.0,335000.0,2013
102,May 2013,"1,489",1000.0,0.29,22.0,-1.46,341000.0,336000.0,2013
101,June 2013,"1,345",-6000.0,-1.78,23.0,-2.36,338000.0,330000.0,2013
100,July 2013,"1,351",-3000.0,-0.9,25.0,-3.11,337500.0,327000.0,2013
99,August 2013,"1,291",-5100.0,-1.55,29.0,-2.42,329900.0,321900.0,2013
98,September 2013,"1,251",9100.0,2.82,24.0,-2.35,339000.0,331000.0,2013
97,October 2013,"1,297",1500.0,0.45,26.0,-2.17,339900.0,332500.0,2013
96,November 2013,"1,111",-2000.0,-0.6,28.0,-2.76,339900.0,330500.0,2013
95,December 2013,785,-5500.0,-1.66,31.0,-1.48,329900.0,325000.0,2013
94,January 2014,867,5750.0,1.76,32.0,-2.4,338900.0,330750.0,2014
93,February 2014,"1,075",8250.0,2.49,22.0,-1.88,345500.0,339000.0,2014
92,March 2014,"1,396",-900.0,-0.26,19.5,-1.97,344900.0,338100.0,2014
91,April 2014,"1,562",9800.0,2.89,21.0,-0.6,350000.0,347900.0,2014
90,May 2014,"1,612",-7900.0,-2.27,21.0,-2.57,349000.0,340000.0,2014
89,June 2014,"1,596",9500.0,2.79,23.0,-2.03,356750.0,349500.0,2014
88,July 2014,"1,575",-9000.0,-2.57,24.0,-2.43,349000.0,340500.0,2014
87,August 2014,"1,374",-10500.0,-3.08,27.0,-2.33,337900.0,330000.0,2014
86,September 2014,"1,405",10000.0,3.03,22.0,-2.82,349900.0,340000.0,2014
85,October 2014,"1,447",3000.0,0.88,23.0,-1.71,349000.0,343000.0,2014
84,November 2014,"1,231",-3510.0,-1.02,25.0,-2.72,349000.0,339490.0,2014
83,December 2014,884,2010.0,0.59,29.0,-2.4,349900.0,341500.0,2014
82,January 2016,"1,021",20000.0,5.74,26.0,-1.86,375000.0,368000.0,2016
81,February 2016,"1,497",9000.0,2.44,19.0,-0.76,379900.0,377000.0,2016
80,March 2016,"1,867",-11000.0,-2.91,16.0,-1.05,369900.0,366000.0,2016
79,April 2016,"2,137",19000.0,5.19,16.0,-1.25,389900.0,385000.0,2016
78,May 2016,"2,163",3000.0,0.77,15.0,-0.51,389990.0,388000.0,2016
77,June 2016,"2,179",-3000.0,-0.77,16.0,-0.77,388000.0,385000.0,2016
76,July 2016,"1,143",-7000.0,-1.81,19.0,-0.5,379900.0,378000.0,2016
75,August 2016,"1,702",12000.0,3.17,18.0,-2.01,398000.0,390000.0,2016
74,September 2016,"1,254",6900.0,1.76,17.0,-0.52,399000.0,396900.0,2016
73,October 2016,"1,360",4850.0,1.22,15.0,0.47,399850.0,401750.0,2016
72,November 2016,"1,492",10250.0,2.55,15.0,0.51,409900.0,412000.0,2016
71,December 2016,"1,106",-2000.0,-0.48,17.0,0.24,409000.0,410000.0,2016
70,January 2017,"1,122",15000.0,3.65,10.0,2.4,415000.0,425000.0,2017
69,February 2017,"1,533",28000.0,6.58,9.0,3.42,438000.0,453000.0,2017
68,March 2017,"1,987",35800.0,7.9,7.0,11.11,439900.0,488800.0,2017
67,April 2017,"1,919",12200.0,2.49,7.0,11.35,449900.0,501000.0,2017
66,May 2017,"1,841",-18000.0,-3.59,8.0,7.33,450000.0,483000.0,2017
65,June 2017,"1,270",-10250.0,-2.12,12.0,3.22,458000.0,472750.0,2017
64,July 2017,804,-2755.0,-0.58,16.0,0.02,469900.0,469995.0,2017
63,August 2017,926,3255.0,0.69,19.0,-1.07,478400.0,473250.0,2017
62,September 2017,866,16750.0,3.53,15.0,-1.25,496250.0,490000.0,2017
61,October 2017,"1,082",-5000.0,-1.02,16.0,1.06,479900.0,485000.0,2017
60,November 2017,"1,408",0.0,0.0,14.0,-0.61,488000.0,485000.0,2017
59,December 2017,795,-7000.0,-1.44,17.0,0.63,475000.0,478000.0,2017
58,January 2018,725,20000.0,4.18,17.0,0.0,498000.0,498000.0,2018
57,February 2018,966,12000.0,2.4,13.0,2.02,499900.0,510000.0,2018
56,March 2018,"1,429",6800.0,1.33,10.0,1.73,508000.0,516800.0,2018
55,April 2018,"1,493",13200.0,2.55,11.0,2.31,518000.0,530000.0,2018
54,May 2018,"1,627",5000.0,0.94,11.0,1.9,525000.0,535000.0,2018
53,June 2018,"1,344",0.0,0.0,13.0,1.9,525000.0,535000.0,2018
52,July 2018,973,-10100.0,-1.88,15.0,1.92,515000.0,524900.0,2018
51,August 2018,"1,179",-4900.0,-0.93,17.0,0.19,519000.0,520000.0,2018
50,September 2018,"1,106",25000.0,4.8,15.0,0.94,539900.0,545000.0,2018
49,October 2018,"1,414",-9000.0,-1.65,14.0,1.32,529000.0,536000.0,2018
48,November 2018,"1,281",-6000.0,-1.11,14.0,0.18,529000.0,530000.0,2018
47,December 2018,748,-3500.0,-0.66,20.0,-0.83,530950.0,526500.0,2018
46,January 2019,831,4500.0,0.85,14.0,0.37,529000.0,531000.0,2019
45,February 2019,"1,038",12500.0,2.35,14.0,0.83,539000.0,543500.0,2019
44,March 2019,"1,268",4250.0,0.78,11.0,0.51,544950.0,547750.0,2019
43,April 2019,"1,517",17250.0,3.14,11.0,1.8,555000.0,565000.0,2019
42,May 2019,"1,618",5000.0,0.88,12.0,0.17,569000.0,570000.0,2019
41,June 2019,"1,376",0.0,0.0,13.0,0.17,569000.0,570000.0,2019
40,July 2019,"1,515",-5000.0,-0.87,14.0,1.07,559000.0,565000.0,2019
39,August 2019,"1,266",5000.0,0.88,15.0,0.17,569000.0,570000.0,2019
38,September 2019,"1,447",4900.0,0.85,13.0,1.03,569000.0,574900.0,2019
37,October 2019,"1,559",15100.0,2.62,14.0,0.2,588800.0,590000.0,2019
36,November 2019,"1,256",2250.0,0.38,14.0,0.58,588800.0,592250.0,2019
35,December 2019,791,-12250.0,-2.06,15.0,0.01,579900.0,580000.0,2019
34,January 2020,892,14500.0,2.5,10.0,2.5,579950.0,594500.0,2020
33,February 2020,"1,383",47000.0,7.9,8.0,6.93,599900.0,641500.0,2020
32,March 2020,"1,308",-6500.0,-1.01,7.0,6.01,599000.0,635000.0,2020
31,April 2020,436,-55000.0,-8.66,14.0,0.01,579900.0,580000.0,2020
30,May 2020,692,15050.0,2.59,14.0,-0.72,599400.0,595050.0,2020
29,June 2020,"1,258",14950.0,2.51,11.0,1.68,599900.0,610000.0,2020
28,July 2020,"1,659",5000.0,0.81,12.0,2.51,599900.0,615000.0,2020
27,August 2020,"1,453",-15000.0,-2.43,13.0,0.16,599000.0,600000.0,2020
26,September 2020,"1,449",-3000.0,-0.5,15.0,-0.33,599000.0,597000.0,2020
25,October 2020,"1,366",-17000.0,-2.84,16.0,-1.52,589000.0,580000.0,2020
24,November 2020,"1,278",-10500.0,-1.81,18.0,-1.61,578850.0,569500.0,2020
23,December 2020,"1,439",-4500.0,-0.79,29.0,-1.73,575000.0,565000.0,2020
22,January 2021,"1,592",16250.0,2.87,21.0,-1.46,589900.0,581250.0,2021
21,February 2021,"2,021",36750.0,6.32,11.0,3.01,599900.0,618000.0,2021
20,March 2021,"2,587",29000.0,4.69,7.0,7.83,600000.0,647000.0,2021
19,April 2021,"2,191",-6000.0,-0.92,7.0,6.85,599900.0,641000.0,2021
18,May 2021,"1,879",-1000.0,-0.15,8.0,5.26,608000.0,640000.0,2021
17,June 2021,"1,799",0.0,0.0,9.0,4.91,610000.0,640000.0,2021
16,July 2021,"1,662",5000.0,0.78,12.0,0.93,639000.0,645000.0,2021
15,August 2021,"1,700",-5000.0,-0.77,13.0,1.76,628888.0,640000.0,2021
14,September 2021,"1,653",10000.0,1.56,10.0,3.19,629900.0,650000.0,2021
13,October 2021,"1,920",5000.0,0.76,11.0,3.14,635000.0,655000.0,2021
12,November 2021,"1,649",-7000.0,-1.06,12.0,2.85,630000.0,648000.0,2021
11,December 2021,"1,114",3000.0,0.46,13.5,3.34,629900.0,651000.0,2021
10,January 2022,"1,328",57000.0,8.75,7.0,8.93,649900.0,708000.0,2022
9,February 2022,"1,878",37000.0,5.22,6.0,12.98,659400.0,745000.0,2022
8,March 2022,"1,872",3000.0,0.4,7.0,8.41,689945.0,748000.0,2022
7,April 2022,"1,421",-18000.0,-2.4,8.0,5.98,688800.0,730000.0,2022
6,May 2022,"1,136",-26750.0,-3.66,10.0,2.0,689400.0,703250.0,2022
5,June 2022,"1,166",-16250.0,-2.31,14.0,-1.07,694500.0,687000.0,2022
4,July 2022,754,-11895.0,-1.73,17.0,-2.08,689450.0,675106.0,2022
3,August 2022,937,-15106.0,-2.23,20.0,-2.79,679000.0,660000.0,2022
2,September 2022,814,10000.0,1.51,18.0,-1.21,678250.0,670000.0,2022
1,October 2022,824,-12000.0,-1.79,18.0,-1.78,669950.0,658000.0,2022
0,November 2022,808,-13000.0,-1.97,18.0,-1.14,652500.0,645000.0,2022
